Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_checklist,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,AssemblyName,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR2026749,WGS,PRJEB19780,SAMEA102721168,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","gs,ena,ncbi,s3","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085882,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102721168,ERP021844,Elh33,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575076,ERS1575076,African Arabidopsis thaliana,250,6253822000,2258448961,,,
ERR2026750,WGS,PRJEB19780,SAMEA102721918,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",2017-07-05,2018-11-16,ERX2085883,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102721918,ERP021844,Elh39,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575077,ERS1575077,African Arabidopsis thaliana,250,5727854750,2131737092,,,
ERR2026751,WGS,PRJEB19780,SAMEA102722668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","gs,s3,ena,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",2017-07-05,2018-11-16,ERX2085884,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102722668,ERP021844,Elh46,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575078,ERS1575078,African Arabidopsis thaliana,250,7870781250,2874148366,,,
ERR2026752,WGS,PRJEB19780,SAMEA102723418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","gs,ncbi,s3,ena","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085885,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102723418,ERP021844,Elh52,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575079,ERS1575079,African Arabidopsis thaliana,250,5639845000,2000184304,,,
ERR2026753,WGS,PRJEB19780,SAMEA102718168,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,gs,ncbi,s3","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085886,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102718168,ERP021844,Elh20,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575072,ERS1575072,African Arabidopsis thaliana,200,5223924800,3370019258,,,
ERR2026754,WGS,PRJEB19780,SAMEA102720418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","ena,gs,ncbi,s3","ena,gs.US,s3.us-east-1,ncbi.public",2017-07-05,2018-11-16,ERX2085887,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102720418,ERP021844,Elh27,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575075,ERS1575075,African Arabidopsis thaliana,200,4804911600,3105139309,,,
ERR2026755,WGS,PRJEB19780,SAMEA102724918,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","s3,gs,ena,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",2017-07-05,2018-11-16,ERX2085888,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102724918,ERP021844,Set6,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575081,ERS1575081,African Arabidopsis thaliana,250,6208454750,2269395415,,,
ERR2026756,WGS,PRJEB19780,SAMEA102724168,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","s3,ena,ncbi,gs","gs.US,s3.us-east-1,ncbi.public,ena",2017-07-05,2018-11-16,ERX2085889,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102724168,ERP021844,Set0,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575080,ERS1575080,African Arabidopsis thaliana,240,7150255200,2714209828,,,
ERR2026757,WGS,PRJEB19780,SAMEA102726418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ncbi,ena,gs,s3","ncbi.public,ena,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085890,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102726418,ERP021844,Bba1,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575083,ERS1575083,African Arabidopsis thaliana,250,5885334750,2088997684,,,
ERR2026758,WGS,PRJEB19780,SAMEA102727168,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","ncbi,ena,gs,s3","ncbi.public,ena,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085891,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102727168,ERP021844,Bba2,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575084,ERS1575084,African Arabidopsis thaliana,250,5446091500,1947955621,,,
