SampleID	Latitude	Longitude	Total reads	Pair-end reads length	Fold genome coverage	Covered reference genome (%)	SNPs	Indels	Flowering time (day)	Region	Pop Category
54-5	47.73	88.22	40763458	100	30.83	94.4	643034	139878	68.8	Altay, Xinjiang	popN
54-6	47.73	88.22	27160280	100	20.74	93.9	632306	123623	63	Altay, Xinjiang	popN
55-12	47.73	88.22	26513280	100	20.25	94	641364	127950	73	Altay, Xinjiang	popN
55-13	47.73	88.22	28610990	100	21.62	94.3	639539	126113	46.67	Altay, Xinjiang	popN
57-1	28.23	116.59	35372638	100	27.07	94.6	688492	142660	39.53	Dongxiang, Jiangxi	popY
58-7	28.28	116.61	35799274	100	27.42	94.4	683114	141728	32.07	Dongxiang, Jiangxi	popY
59-12	28.75	115.82	28235500	100	21.38	94.4	694132	128108	41.18	Xinjian, Jiangxi	popY
60-1	28.78	115.84	26705762	100	20.37	94.3	686991	135602	43.47	Nanchang, Jiangxi	popY
61-1	29.86	116.52	51488972	100	39.38	94.8	691176	156968	24.46	Pengze, Jiangxi	popY
62-1	29.92	116.57	67935642	150	73.35	94.2	682390	165575	23.57	Pengze, Jiangxi	popY
63-1	29.88	116.52	28821502	100	21.95	94	667092	129369	46.36	Pengze, Jiangxi	popY
64-5	29.87	116.53	25968536	100	19.78	94.2	672030	121753	27.27	Pengze, Jiangxi	popY
65-1	29.57	117.58	29066184	100	21.78	94.5	679572	134541	35.6	Jingdezhen, Jiangxi	popY
66-3	29.34	117.34	34299060	100	25.7	94.1	670323	136505	43.87	Jingdezhen, Jiangxi	popY
67-1	29.33	117.32	33616814	100	25.11	94.3	676234	141004	41.53	Jingdezhen, Jiangxi	popY
68-1	29.32	117.31	35129900	100	26.77	94.5	686731	141781	43.4	Jingdezhen, Jiangxi	popY
69-7	28.97	114.85	34477356	100	26.36	94.4	689479	143598	49.2	Wuning, Jiangxi	popY
70-1	28.99	114.86	28126940	100	21.55	94.3	690444	139772	35.4	Wuning, Jiangxi	popY
71-5	29	114.87	29863592	100	22.34	94.5	691646	140948	24.93	Wuning, Jiangxi	popY
72-2	29.24	115.1	25004356	100	19.05	94.5	693187	125106	43.67	Wuning, Jiangxi	popY
73-5	29.29	115.98	31586866	100	24.21	94.5	677890	131349	-	Xingzi, Jiangxi	popY
74-14	29.61	115.93	25795752	100	19.8	94.3	677793	125940	31.67	Jiujiang, Jiangxi	popY
75-6	29.6	115.93	33512046	100	25.81	94.3	680851	137270	35.27	Jiujiang, Jiangxi	popY
76-3	28.23	112.55	69695036	150	75.52	94.2	692461	170887	- 	Ningxiang, Hunan	popY
76-4	28.23	112.55	57253528	150	60.9	93.8	679811	166150	- 	Ningxiang, Hunan	popY
76-5	28.23	112.55	105274260	150	97.24	94.1	669656	167156	25.4	Ningxiang, Hunan	popY
77-2	28.23	112.55	57371394	150	61	94.1	693014	167696	38.8	Ningxiang, Hunan	popY
77-3	28.23	112.55	62196176	150	67.78	93.9	694103	165984	- 	Ningxiang, Hunan	NA
78-4	28.5	112.14	61136430	150	66.29	93.8	681588	167347	33.47	Taojiang, Hunan	popY
78-5	28.5	112.14	71133860	150	74.81	93.8	680272	167352	37.93	Taojiang, Hunan	popY
79-2	28.03	110.21	41832564	150	44.96	94	677836	159015	29.07	Chenxi, Hunan	popY
79-4	28.03	110.21	68062920	150	72.95	94.2	681760	166196	30.8	Chenxi, Hunan	popY
82-1	31.82	115.39	61312506	150	65.48	93.7	699211	163103	-	Shangcheng, Henan	popY
82-3	31.82	115.39	59328578	150	64.48	93.9	716551	169514	- 	Shangcheng, Henan	popY
83-2	32.17	115.66	59006362	150	63.86	93.9	683904	159835	- 	Gushi, Henan	popY
83-5	32.17	115.66	62170078	150	66.68	93.9	695813	167848	29.33	Gushi, Henan	popY
84-3	32.14	115.06	65983504	150	69.33	94.2	686964	167510	41.13	Huangchuan, Henan	popY
84-4	32.14	115.06	65768404	150	70.23	94.2	690407	168014	47.13	Huangchuan, Henan	popY
85-3	32.14	115.06	46957104	150	49.75	93.9	677228	156027	49.67	Huangchuan, Henan	popY
85-5	32.14	115.06	68864544	150	72.61	93.9	678569	166950	35	Huangchuan, Henan	popY
86	29.71	106.63	60590950	150	54.68	94.2	683020	164587	20.73	Yubei, Chongqing	popY
87	29.64	91.18	38627444	100	25.95	93.3	834392	166958	- 	Lhasa, Tibet	NA
