study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	sample_alias
PRJEB19780	SAMEA102744418	ERS1575107	ERX2085914	ERR2026781	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Agl3
PRJEB19780	SAMEA102745168	ERS1575108	ERX2085915	ERR2026782	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Agl5
PRJEB19780	SAMEA102745918	ERS1575109	ERX2085916	ERR2026783	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Agl9
PRJEB19780	SAMEA102742168	ERS1575104	ERX2085917	ERR2026784	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Agl0
PRJEB19780	SAMEA102747418	ERS1575111	ERX2085918	ERR2026785	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Azr11
PRJEB19780	SAMEA102748168	ERS1575112	ERX2085919	ERR2026786	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Azr13
PRJEB19780	SAMEA102748918	ERS1575113	ERX2085920	ERR2026787	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Azr16
PRJEB19780	SAMEA102748918	ERS1575113	ERX2085921	ERR2026788	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Azr16
PRJEB19780	SAMEA102749668	ERS1575114	ERX2085922	ERR2026789	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Azr5
PRJEB19780	SAMEA102750418	ERS1575115	ERX2085923	ERR2026790	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Azr7
PRJEB19780	SAMEA102746668	ERS1575110	ERX2085924	ERR2026791	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Azr0
PRJEB19780	SAMEA102751918	ERS1575117	ERX2085925	ERR2026792	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elk20
