AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	isolation_source	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Platform	ReleaseDate	SRA_Study	age	ecotype	geo_loc_name	tissue
198	SAMN10473509	SRX5058462	O3-18-6	4744	3167	Arabidopsis thaliana	SRR8240217	SRS4074611	O3-18-6	O3-18-6	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
197	SAMN10473506	SRX5058461	O3-18-3	4587	3079	Arabidopsis thaliana	SRR8240218	SRS4074610	O3-18-3	O3-18-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
197	SAMN10473507	SRX5058460	O3-18-4	4571	3080	Arabidopsis thaliana	SRR8240219	SRS4074609	O3-18-4	O3-18-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473486	SRX5058459	AM-15-3	4725	3158	Arabidopsis thaliana	SRR8240220	SRS4074608	AM-15-3	AM-15-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473487	SRX5058458	AM-15-4	4640	3098	Arabidopsis thaliana	SRR8240221	SRS4074607	AM-15-4	AM-15-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
245	SAMN10473488	SRX5058457	JBBT1	1073	580	Arabidopsis thaliana	SRR8240222	SRS4074606	JBBT1	JBBT1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
245	SAMN10473489	SRX5058456	JBBT2	2139	1120	Arabidopsis thaliana	SRR8240223	SRS4074605	JBBT2	JBBT2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473490	SRX5058455	LG5-16-1	5441	3570	Arabidopsis thaliana	SRR8240224	SRS4074604	LG5-16-1	LG5-16-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473491	SRX5058454	LG5-16-2	4763	3175	Arabidopsis thaliana	SRR8240225	SRS4074603	LG5-16-2	LG5-16-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473492	SRX5058453	LG5-16-3	6929	4552	Arabidopsis thaliana	SRR8240226	SRS4074602	LG5-16-3	LG5-16-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473493	SRX5058452	LG5-16-4	6707	4383	Arabidopsis thaliana	SRR8240227	SRS4074601	LG5-16-4	LG5-16-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473494	SRX5058451	LG7-13-1	5809	3808	Arabidopsis thaliana	SRR8240228	SRS4074600	LG7-13-1	LG7-13-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473495	SRX5058450	LG7-13-2	5371	3532	Arabidopsis thaliana	SRR8240229	SRS4074599	LG7-13-2	LG7-13-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473548	SRX5058449	T9-10-3	4721	3109	Arabidopsis thaliana	SRR8240230	SRS4074598	T9-10-3	T9-10-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
