sra_run	biosample	bioproject	instrument_model	library_layout	oa_id
SRR1945499	SAMN03326343	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1739
SRR1945500	SAMN03326344	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1741
SRR1945501	SAMN03326345	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1756
SRR1945502	SAMN03326346	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1757
SRR1945503	SAMN03326347	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1793
SRR1945504	SAMN03326348	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1797
SRR1945505	SAMN03326349	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1819
SRR1945506	SAMN03326350	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1820
SRR1945507	SAMN03326351	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1829
SRR1945508	SAMN03326352	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1834
SRR1945509	SAMN03326353	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1835
SRR1945510	SAMN03326354	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1851
SRR1945511	SAMN03326355	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1852
SRR1945512	SAMN03326356	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1853
SRR1945513	SAMN03326357	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1872
SRR1945514	SAMN03326358	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1890
SRR1945515	SAMN03326359	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1925
SRR1945516	SAMN03326360	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1942
SRR1945517	SAMN03326361	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1943
SRR1945518	SAMN03326362	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG1954
SRR1945519	SAMN03326363	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2016
SRR1945520	SAMN03326364	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2017
SRR1945521	SAMN03326365	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2031
SRR1945522	SAMN03326366	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2053
SRR1945523	SAMN03326367	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2057
SRR1945524	SAMN03326368	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2081
SRR1945525	SAMN03326369	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2091
SRR1945526	SAMN03326370	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2106
SRR1945527	SAMN03326371	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2108
SRR1945528	SAMN03326372	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2141
SRR1945529	SAMN03326373	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2159
SRR1945530	SAMN03326374	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2166
SRR1945531	SAMN03326375	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2171
SRR1945532	SAMN03326376	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2191
SRR1945533	SAMN03326377	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2202
SRR1945534	SAMN03326378	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2212
SRR1945535	SAMN03326379	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2239
SRR1945536	SAMN03326380	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2240
SRR1945537	SAMN03326381	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG2276
