oa_id	dataset	ecotype_id	sample_name	biosample	species	latitude	longitude	elevation	locality	country	country_code	collector	collection_date	collection_notes	cs_number	ploidy	internal_data	pooled_plants
OAKG0867	KG	867	MIC-20	SAMN03326315	Arabidopsis thaliana	41.8266	-86.4366		MIC	USA	USA	Kathleen Donohue	1999-05-21 0:00:00		CS78960			
OAKG0868	KG	868	MIC-24	SAMN03326316	Arabidopsis thaliana	41.8266	-86.4366		MIC	USA	USA	Kathleen Donohue	1999-05-21 0:00:00		CS78961			
OAKG0870	KG	870	MIC-31	SAMN03326317	Arabidopsis thaliana	41.8266	-86.4366		MIC	USA	USA	Kathleen Donohue	1999-05-21 0:00:00		CS77082			
OAKG0915	KG	915	LIN S-5	SAMN03326318	Arabidopsis thaliana	41.8972	-71.4378		LIN S	USA	USA	Kathleen Donohue	1999-01-01 0:00:00		CS77040			
OAKG0932	KG	932	CHA-41	SAMN03326319	Arabidopsis thaliana	42.3634	-71.1445		CHA	USA	USA	Kathleen Donohue	2002-06-13 0:00:00		CS76765			
OAKG0991	KG	991	Ale-Stenar-41-1	SAMN03326320	Arabidopsis thaliana	55.3833	14.05		Ales Stenar	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76651			
OAKG0992	KG	992	Ale-Stenar-44-4	SAMN03326321	Arabidopsis thaliana	55.3833	14.05		Ales Stenar	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76652			
OAKG0997	KG	997	Ale-Stenar-56-14	SAMN03326322	Arabidopsis thaliana	55.3833	14.05		Ales Stenar	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76653			
OAKG1002	KG	1002	Ale-Stenar-64-24	SAMN03326323	Arabidopsis thaliana	55.3833	14.05		Ales Stenar	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76654			
OAKG1006	KG	1006	Ale-Stenar-77-31	SAMN03326324	Arabidopsis thaliana	55.3833	14.05		Ales Stenar	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS77636			
OAKG1061	KG	1061	Brösarp-11-135	SAMN03326325	Arabidopsis thaliana	55.7167	14.1333		Brösarp	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76727			
OAKG1062	KG	1062	Brösarp-15-138	SAMN03326326	Arabidopsis thaliana	55.7167	14.1333		Brösarp	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76728			
OAKG1063	KG	1063	Brösarp-21-140	SAMN03326327	Arabidopsis thaliana	55.7167	14.1333		Brösarp	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76729			
OAKG1066	KG	1066	Brösarp-34-145	SAMN03326328	Arabidopsis thaliana	55.7167	14.1333		Brösarp	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS76730			
OAKG1070	KG	1070	Brösarp-45-153	SAMN03326329	Arabidopsis thaliana	55.7167	14.1333		Brösarp	SWE	SWE	Jon Ågren	2001-01-01 0:00:00		CS77643			
OAKG1158	KG	1158	Aledal-6-49	SAMN03326330	Arabidopsis thaliana	56.7	16.5167		Aledal	SWE	SWE	Jon Ågren	2003-01-01 0:00:00		CS76656			
OAKG1166	KG	1166	Aledal-14-73	SAMN03326331	Arabidopsis thaliana	56.7	16.5167		Aledal	SWE	SWE	Jon Ågren	2003-01-01 0:00:00		CS77651			
