library	run	sample	include	is_sra
SRR1945548	PRJNA273563	OAKG4857	Y	Y
SRR1945549	PRJNA273563	OAKG4884	Y	Y
SRR1945550	PRJNA273563	OAKG4900	Y	Y
SRR1945551	PRJNA273563	OAKG4939	Y	Y
SRR1945552	PRJNA273563	OAKG4958	Y	Y
SRR1945553	PRJNA273563	OAKG5023	Y	Y
SRR1945554	PRJNA273563	OAKG5104	Y	Y
SRR1945555	PRJNA273563	OAKG5151	Y	Y
SRR1945556	PRJNA273563	OAKG5165	Y	Y
SRR1945557	PRJNA273563	OAKG5210	Y	Y
SRR1945558	PRJNA273563	OAKG5236	Y	Y
SRR1945559	PRJNA273563	OAKG5249	Y	Y
SRR1945560	PRJNA273563	OAKG5253	Y	Y
SRR1945561	PRJNA273563	OAKG5276	Y	Y
SRR1945562	PRJNA273563	OAKG5279	Y	Y
SRR1945563	PRJNA273563	OAKG5349	Y	Y
SRR1945564	PRJNA273563	OAKG5353	Y	Y
SRR1945565	PRJNA273563	OAKG5395	Y	Y
SRR1945566	PRJNA273563	OAKG5486	Y	Y
SRR1945567	PRJNA273563	OAKG5577	Y	Y
SRR1945568	PRJNA273563	OAKG5644	Y	Y
SRR1945569	PRJNA273563	OAKG5651	Y	Y
SRR1945570	PRJNA273563	OAKG5717	Y	Y
SRR1945571	PRJNA273563	OAKG5718	Y	Y
SRR1945572	PRJNA273563	OAKG5720	Y	Y
SRR1945573	PRJNA273563	OAKG5726	Y	Y
SRR1945574	PRJNA273563	OAKG5741	Y	Y
SRR1945575	PRJNA273563	OAKG5748	Y	Y
SRR1945576	PRJNA273563	OAKG5757	Y	Y
SRR1945577	PRJNA273563	OAKG5768	Y	Y
SRR1945578	PRJNA273563	OAKG5772	Y	Y
SRR1945579	PRJNA273563	OAKG5776	Y	Y
SRR1945580	PRJNA273563	OAKG5779	Y	Y
SRR1945581	PRJNA273563	OAKG5784	Y	Y
SRR1945582	PRJNA273563	OAKG5798	Y	Y
SRR1945583	PRJNA273563	OAKG5800	Y	Y
SRR1945584	PRJNA273563	OAKG5811	Y	Y
SRR1945585	PRJNA273563	OAKG5822	Y	Y
SRR1945586	PRJNA273563	OAKG5830	Y	Y
SRR1945587	PRJNA273563	OAKG5831	Y	Y
SRR1945588	PRJNA273563	OAKG5832	Y	Y
SRR1945589	PRJNA273563	OAKG5836	Y	Y
SRR1945590	PRJNA273563	OAKG5837	Y	Y
SRR1945591	PRJNA273563	OAKG5856	Y	Y
SRR1945592	PRJNA273563	OAKG5860	Y	Y
SRR1945593	PRJNA273563	OAKG5865	Y	Y
SRR1945594	PRJNA273563	OAKG5867	Y	Y
SRR1945595	PRJNA273563	OAKG5874	Y	Y
SRR1945596	PRJNA273563	OAKG5890	Y	Y
SRR1945597	PRJNA273563	OAKG5893	Y	Y
SRR1945598	PRJNA273563	OAKG5907	Y	Y
SRR1945599	PRJNA273563	OAKG5921	Y	Y
SRR1945600	PRJNA273563	OAKG5950	Y	Y
SRR1945601	PRJNA273563	OAKG5984	Y	Y
SRR1945602	PRJNA273563	OAKG5993	Y	Y
SRR1945603	PRJNA273563	OAKG6008	Y	Y
SRR1945604	PRJNA273563	OAKG6009	Y	Y
SRR1945605	PRJNA273563	OAKG6010	Y	Y
SRR1945606	PRJNA273563	OAKG6011	Y	Y
SRR1945607	PRJNA273563	OAKG6012	Y	Y
SRR1945608	PRJNA273563	OAKG6013	Y	Y
SRR1945609	PRJNA273563	OAKG6016	Y	Y
SRR1945610	PRJNA273563	OAKG6017	Y	Y
SRR1945611	PRJNA273563	OAKG6019	Y	Y
SRR1945612	PRJNA273563	OAKG6020	Y	Y
SRR1945613	PRJNA273563	OAKG6021	Y	Y
SRR1945614	PRJNA273563	OAKG6022	Y	Y
SRR1945615	PRJNA273563	OAKG6023	Y	Y
SRR1945616	PRJNA273563	OAKG6024	Y	Y
SRR1945617	PRJNA273563	OAKG6025	Y	Y
SRR1945618	PRJNA273563	OAKG6030	Y	Y
SRR1945619	PRJNA273563	OAKG6034	Y	Y
SRR1945620	PRJNA273563	OAKG6035	Y	Y
SRR1945621	PRJNA273563	OAKG6036	Y	Y
SRR1945622	PRJNA273563	OAKG6038	Y	Y
SRR1945623	PRJNA273563	OAKG6039	Y	Y
SRR1945624	PRJNA273563	OAKG6040	Y	Y
SRR1945625	PRJNA273563	OAKG6041	Y	Y
SRR1945626	PRJNA273563	OAKG6042	Y	Y
SRR1945627	PRJNA273563	OAKG6043	Y	Y
SRR1945628	PRJNA273563	OAKG6046	Y	Y
SRR1945629	PRJNA273563	OAKG6064	Y	Y
SRR1945630	PRJNA273563	OAKG6069	Y	Y
SRR1945631	PRJNA273563	OAKG6070	Y	Y
SRR1945632	PRJNA273563	OAKG6071	Y	Y
SRR1945633	PRJNA273563	OAKG6073	Y	Y
SRR1945634	PRJNA273563	OAKG6074	Y	Y
SRR1945635	PRJNA273563	OAKG6076	Y	Y
SRR1945636	PRJNA273563	OAKG6077	Y	Y
SRR1945637	PRJNA273563	OAKG6085	Y	Y
SRR1945638	PRJNA273563	OAKG6086	Y	Y
SRR1945639	PRJNA273563	OAKG6087	Y	Y
SRR1945640	PRJNA273563	OAKG6088	Y	Y
SRR1945641	PRJNA273563	OAKG6090	Y	Y
SRR1945642	PRJNA273563	OAKG6091	Y	Y
SRR1945643	PRJNA273563	OAKG6092	Y	Y
SRR1945644	PRJNA273563	OAKG6094	Y	Y
SRR1945645	PRJNA273563	OAKG6095	Y	Y
SRR1945646	PRJNA273563	OAKG6096	Y	Y
SRR1945647	PRJNA273563	OAKG6097	Y	Y
SRR1945648	PRJNA273563	OAKG6098	Y	Y
SRR1945649	PRJNA273563	OAKG6099	Y	Y
SRR1945650	PRJNA273563	OAKG6100	Y	Y
SRR1945651	PRJNA273563	OAKG6101	Y	Y
SRR1945652	PRJNA273563	OAKG6102	Y	Y
SRR1945653	PRJNA273563	OAKG6104	Y	Y
SRR1945654	PRJNA273563	OAKG6105	Y	Y
SRR1945655	PRJNA273563	OAKG6106	Y	Y
SRR1945656	PRJNA273563	OAKG6107	Y	Y
SRR1945657	PRJNA273563	OAKG6108	Y	Y
SRR1945658	PRJNA273563	OAKG6109	Y	Y
SRR1945659	PRJNA273563	OAKG6111	Y	Y
SRR1945660	PRJNA273563	OAKG6112	Y	Y
SRR1945661	PRJNA273563	OAKG6113	Y	Y
SRR1945662	PRJNA273563	OAKG6114	Y	Y
SRR1945663	PRJNA273563	OAKG6115	Y	Y
SRR1945664	PRJNA273563	OAKG6118	Y	Y
SRR1945665	PRJNA273563	OAKG6119	Y	Y
SRR1945666	PRJNA273563	OAKG6122	Y	Y
SRR1945667	PRJNA273563	OAKG6123	Y	Y
SRR1945668	PRJNA273563	OAKG6124	Y	Y
SRR1945669	PRJNA273563	OAKG6125	Y	Y
SRR1945670	PRJNA273563	OAKG6126	Y	Y
SRR1945671	PRJNA273563	OAKG6128	Y	Y
SRR1945672	PRJNA273563	OAKG6131	Y	Y
SRR1945673	PRJNA273563	OAKG6132	Y	Y
SRR1945674	PRJNA273563	OAKG6133	Y	Y
SRR1945675	PRJNA273563	OAKG6134	Y	Y
SRR1945676	PRJNA273563	OAKG6136	Y	Y
SRR1945677	PRJNA273563	OAKG6137	Y	Y
SRR1945678	PRJNA273563	OAKG6138	Y	Y
SRR1945679	PRJNA273563	OAKG6140	Y	Y
SRR1945680	PRJNA273563	OAKG6141	Y	Y
SRR1945681	PRJNA273563	OAKG6142	Y	Y
SRR1945682	PRJNA273563	OAKG6145	Y	Y
SRR1945683	PRJNA273563	OAKG6148	Y	Y
SRR1945684	PRJNA273563	OAKG6149	Y	Y
SRR1945685	PRJNA273563	OAKG6150	Y	Y
SRR1945686	PRJNA273563	OAKG6151	Y	Y
SRR1945687	PRJNA273563	OAKG6153	Y	Y
SRR1945688	PRJNA273563	OAKG6154	Y	Y
SRR1945689	PRJNA273563	OAKG6163	Y	Y
SRR1945690	PRJNA273563	OAKG6166	Y	Y
SRR1945691	PRJNA273563	OAKG6169	Y	Y
SRR1945692	PRJNA273563	OAKG6172	Y	Y
SRR1945693	PRJNA273563	OAKG6173	Y	Y
SRR1945694	PRJNA273563	OAKG6174	Y	Y
SRR1945695	PRJNA273563	OAKG6177	Y	Y
SRR1945696	PRJNA273563	OAKG6180	Y	Y
SRR1945697	PRJNA273563	OAKG6184	Y	Y
SRR1945698	PRJNA273563	OAKG6188	Y	Y
SRR1945699	PRJNA273563	OAKG6189	Y	Y
SRR1945700	PRJNA273563	OAKG6191	Y	Y
SRR1945701	PRJNA273563	OAKG6192	Y	Y
SRR1945702	PRJNA273563	OAKG6193	Y	Y
SRR1945703	PRJNA273563	OAKG6194	Y	Y
SRR1945704	PRJNA273563	OAKG6195	Y	Y
SRR1945705	PRJNA273563	OAKG6198	Y	Y
SRR1945706	PRJNA273563	OAKG6201	Y	Y
SRR1945707	PRJNA273563	OAKG6202	Y	Y
SRR1945708	PRJNA273563	OAKG6203	Y	Y
SRR1945709	PRJNA273563	OAKG6209	Y	Y
SRR1945710	PRJNA273563	OAKG6210	Y	Y
SRR1945711	PRJNA273563	OAKG6214	Y	Y
SRR1945712	PRJNA273563	OAKG6216	Y	Y
SRR1945713	PRJNA273563	OAKG6217	Y	Y
SRR1945714	PRJNA273563	OAKG6218	Y	Y
SRR1945715	PRJNA273563	OAKG6220	Y	Y
SRR1945716	PRJNA273563	OAKG6221	Y	Y
SRR1945717	PRJNA273563	OAKG6231	Y	Y
SRR1945718	PRJNA273563	OAKG6235	Y	Y
SRR1945719	PRJNA273563	OAKG6237	Y	Y
SRR1945720	PRJNA273563	OAKG6238	Y	Y
SRR1945721	PRJNA273563	OAKG6240	Y	Y
SRR1945722	PRJNA273563	OAKG6241	Y	Y
SRR1945723	PRJNA273563	OAKG6242	Y	Y
SRR1945724	PRJNA273563	OAKG6243	Y	Y
SRR1945725	PRJNA273563	OAKG6244	Y	Y
SRR1945726	PRJNA273563	OAKG6252	Y	Y
SRR1945727	PRJNA273563	OAKG6255	Y	Y
SRR1945728	PRJNA273563	OAKG6258	Y	Y
SRR1945729	PRJNA273563	OAKG6268	Y	Y
